planner_type,success,time_sec,iterations,nodes,classical_calls,classical_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,selected_score_total,avg_selected_score,initial_score_total,marked_set_size_total,improvement_rounds_total,classical_improvements,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,candidate_count,target_weight,goal_weight,best_rounds,score_margin
crrt_matched_score,True,10.849916787119582,58,41,39,39,19,0,6,0,0,0,2697,39,69.15384615384616,47.904459341293595,1.2283194702895794,-16.593584167913324,2439,108,39,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",11,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,19.169306913157925,122,85,83,83,39,0,10,0,0,0,6053,83,72.92771084337349,82.7720362597451,0.9972534489125915,-38.1648772557681,5733,220,80,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",12,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,8.987573515158147,41,34,32,32,9,0,5,0,0,0,2133,32,66.65625,46.40483880129349,1.4501512125404215,-14.182373101365519,1927,91,32,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",13,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,16.125332719180733,59,49,47,47,12,0,7,0,0,0,3092,47,65.7872340425532,68.26888545362824,1.4525294777367712,-5.322061280655337,2207,116,44,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",14,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,12.100749460980296,63,42,40,40,23,0,7,0,0,0,2779,40,69.475,50.2338923882926,1.255847309707315,-20.23889182049012,2430,109,40,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",15,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,10.266483321087435,46,38,36,36,10,0,6,0,0,0,2228,36,61.888888888888886,47.89762178558818,1.330489494044116,-11.162361488538744,1834,89,35,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",16,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,10.153955494984984,54,39,37,37,17,0,7,0,0,0,2330,37,62.972972972972975,43.99653172102677,1.1890954519196424,-16.781536645048167,2153,97,36,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",17,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,18.012534788111225,88,64,62,62,26,0,6,0,0,0,4471,62,72.11290322580645,72.22637223539103,1.1649414876675972,-19.445110731495713,3534,164,60,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",18,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,12.569835550151765,62,48,46,46,16,0,7,0,0,0,3150,46,68.47826086956522,64.40850847290292,1.4001849668022375,-6.54868777718662,2303,120,46,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",19,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,10.941062729107216,55,45,43,43,12,0,10,0,0,0,3130,43,72.79069767441861,52.28273020555953,1.2158774466409192,-18.18772115500748,2745,111,43,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",20,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,12.546500386903062,62,48,46,46,16,0,6,0,0,0,3020,46,65.65217391304348,56.2784027478757,1.2234435379972979,-15.314548079380865,2482,123,46,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",21,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,7.819405483081937,55,35,33,33,22,0,7,0,0,0,2385,33,72.27272727272727,42.79845654419201,1.296922925581576,-14.478910060914643,2027,88,33,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",22,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,12.318710971157998,37,33,31,31,6,0,6,0,0,0,2071,31,66.80645161290323,44.74666204874745,1.443440711249918,-11.617667005187606,1577,80,31,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",23,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,12.272566777188331,65,53,51,51,14,0,6,0,0,0,3496,51,68.54901960784314,58.59799461839439,1.1489802866351841,-16.060714473028096,3049,134,50,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",24,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,11.08669239608571,55,34,32,32,23,0,9,0,0,0,2292,32,71.625,43.454769147326786,1.357961535853962,-12.072274616010695,1793,80,32,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",25,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,8.59678222797811,39,33,31,31,8,0,8,0,0,0,2017,31,65.06451612903226,40.53331500279559,1.307526290412761,-4.319617192148614,1429,77,30,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",26,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,15.788135695969686,62,48,46,46,16,0,5,0,0,0,3053,46,66.3695652173913,62.65546089540445,1.3620752368566185,-15.03661872110353,2686,116,45,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",27,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,13.918187359115109,75,51,49,49,26,0,8,0,0,0,3338,49,68.12244897959184,63.70171409914876,1.3000349816152807,-21.45329460031915,2835,122,48,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",28,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,16.66876333183609,90,60,58,58,32,0,5,0,0,0,4233,58,72.98275862068965,72.95405884287779,1.257828600739272,-14.366066905926196,3194,155,58,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",29,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,12.419657436199486,79,54,52,52,27,0,7,0,0,0,3376,52,64.92307692307692,56.013204080881216,1.077177001555408,-12.68226241048584,2420,125,50,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",30,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,20.617900474229828,80,62,60,60,20,0,8,0,0,0,3793,60,63.21666666666667,64.78128704634382,1.0796881174390636,-25.145682846023014,3310,157,59,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",31,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,13.054951580939814,65,52,50,50,15,0,9,0,0,0,3474,50,69.48,67.4684972361592,1.349369944723184,-15.585319333560058,2800,133,48,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",32,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,13.729124825913459,74,51,49,49,25,0,7,0,0,0,3175,49,64.79591836734694,50.610084757267884,1.0328588725973038,-33.95551561145584,3381,133,49,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",33,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,17.026521384948865,84,65,63,63,21,0,8,0,0,0,3967,63,62.96825396825397,65.99515520796187,1.047542146158125,-33.52957411659254,3686,165,63,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",34,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,11.252645059023052,60,49,47,47,13,0,9,0,0,0,3018,47,64.2127659574468,52.65244391686097,1.1202647641885313,-16.463142294258567,2431,113,46,15,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",35,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,15.536508314078674,68,54,52,52,16,0,7,0,0,0,3615,52,69.51923076923077,61.0699028555345,1.1744212087602788,-26.25917301760242,3174,144,52,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",36,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,10.73878308199346,48,33,31,31,17,0,7,0,0,0,2165,31,69.83870967741936,42.375082435705906,1.3669381430872873,-11.912248033853821,1787,76,31,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",37,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,10.153162552043796,47,37,35,35,12,0,6,0,0,0,2668,35,76.22857142857143,49.25836372627515,1.4073818207507185,-10.47913547629256,1962,86,34,13,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",38,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,8.985848241951317,38,32,30,30,8,0,12,0,0,0,2236,30,74.53333333333333,40.39969414429599,1.346656471476533,-11.837399879719825,1937,84,30,16,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",39,2000,0.1,0.0,128,1.0,1.0,3,0.0
crrt_matched_score,True,9.394389791879803,43,32,30,30,13,0,7,0,0,0,2027,30,67.56666666666666,40.778068156041975,1.3592689385347325,-12.5520633742161,1757,82,30,14,"[10, 10, 10, 10, 10, 10]",1000000,"-2.094000,3.194000,1.693000,-1.274000,1.117000,2.356000","-1.658000,3.142000,4.660000,2.042000,-2.374000,-2.356000","(2, 5, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)","(2, 4, 2, 3, 6, 8)","(2, 5, 7, 7, 1, 1)",40,2000,0.1,0.0,128,1.0,1.0,3,0.0
