iteration,goal_sampled,candidate_count,chosen_idx,chosen_rank,accepted,rejection_reason,tree_nodes
1,False,83,"(5, 5, 6, 5, 4, 5)",7,True,,2
2,False,83,"(5, 5, 5, 5, 4, 4)",4,True,,3
3,False,83,"(4, 5, 5, 4, 5, 5)",40,True,,4
4,False,0,,,False,invalid_random_target,4
5,False,83,"(5, 5, 5, 5, 4, 4)",4,False,duplicate,4
6,False,0,,,False,invalid_random_target,4
7,False,83,"(5, 4, 6, 5, 4, 4)",32,True,,5
8,False,0,,,False,invalid_random_target,5
9,False,78,"(6, 5, 6, 5, 4, 4)",37,True,,6
10,False,83,"(5, 5, 5, 5, 3, 5)",3,True,,7
11,True,83,"(5, 5, 4, 5, 3, 4)",36,True,,8
12,False,0,,,False,invalid_random_target,8
13,False,83,"(5, 5, 6, 4, 5, 5)",50,True,,9
14,False,61,"(4, 4, 6, 6, 4, 4)",1,True,,10
15,False,83,"(5, 5, 5, 6, 4, 5)",2,True,,11
16,False,81,"(5, 5, 5, 4, 6, 5)",71,True,,12
17,False,82,"(5, 4, 6, 5, 3, 5)",31,True,,13
18,False,82,"(5, 5, 5, 7, 4, 4)",10,True,,14
19,False,83,"(4, 5, 5, 5, 5, 4)",6,True,,15
20,False,81,"(5, 6, 5, 4, 5, 5)",41,True,,16
21,False,0,,,False,invalid_random_target,16
22,True,53,"(3, 5, 6, 6, 4, 4)",5,True,,17
23,True,66,"(3, 6, 6, 6, 4, 5)",42,True,,18
24,True,66,"(4, 4, 6, 6, 4, 4)",48,False,duplicate,18
25,False,0,,,False,invalid_random_target,18
26,False,53,"(4, 5, 6, 7, 4, 4)",6,True,,19
27,False,82,"(4, 5, 5, 6, 4, 4)",1,True,,20
28,True,66,"(2, 5, 6, 6, 3, 4)",4,True,,21
29,False,0,,,False,invalid_random_target,21
30,False,0,,,False,invalid_random_target,21
31,False,66,"(3, 5, 6, 7, 3, 4)",1,True,,22
32,False,82,"(5, 5, 5, 5, 3, 7)",82,True,,23
33,False,0,,,False,invalid_random_target,23
34,False,0,,,False,invalid_random_target,23
35,False,0,,,False,invalid_random_target,23
36,False,82,"(5, 5, 5, 7, 3, 3)",7,True,,24
37,False,82,"(5, 5, 5, 7, 4, 6)",54,True,,25
38,False,0,,,False,invalid_random_target,25
39,False,0,,,False,invalid_random_target,25
40,False,80,"(6, 4, 5, 5, 4, 4)",52,True,,26
41,False,83,"(6, 5, 5, 6, 4, 6)",69,True,,27
42,False,83,"(4, 5, 5, 6, 3, 7)",6,True,,28
43,False,84,"(5, 6, 5, 4, 6, 4)",52,True,,29
44,False,0,,,False,invalid_random_target,29
45,False,0,,,False,invalid_random_target,29
46,False,83,"(5, 5, 5, 6, 6, 5)",7,True,,30
47,False,60,"(4, 4, 6, 6, 3, 5)",1,True,,31
48,True,68,"(3, 5, 6, 8, 3, 3)",7,True,,32
49,False,84,"(5, 6, 5, 5, 6, 3)",9,True,,33
50,False,70,"(3, 5, 6, 7, 2, 3)",12,True,,34
51,False,70,"(3, 5, 6, 8, 1, 3)",4,True,,35
52,False,83,"(4, 5, 6, 4, 5, 5)",27,True,,36
53,False,81,"(5, 5, 6, 3, 4, 5)",42,True,,37
54,False,0,,,False,invalid_random_target,37
55,False,81,"(5, 6, 6, 4, 4, 5)",7,True,,38
56,False,83,"(5, 5, 6, 4, 6, 5)",28,True,,39
57,False,84,"(5, 6, 5, 2, 6, 4)",82,True,,40
58,False,83,"(5, 5, 5, 5, 5, 7)",74,True,,41
59,True,70,"(3, 6, 7, 8, 1, 3)",3,True,,42
60,False,0,,,False,invalid_random_target,42
61,False,83,"(4, 5, 5, 5, 3, 6)",2,True,,43
62,False,72,"(6, 4, 5, 6, 3, 4)",7,True,,44
63,False,0,,,False,invalid_random_target,44
64,False,83,"(5, 6, 5, 5, 3, 6)",7,True,,45
65,False,0,,,False,invalid_random_target,45
66,False,83,"(5, 6, 5, 6, 5, 5)",7,True,,46
67,False,0,,,False,invalid_random_target,46
68,False,83,"(5, 5, 5, 6, 5, 6)",4,True,,47
69,False,83,"(4, 5, 5, 5, 4, 7)",5,True,,48
70,False,84,"(5, 6, 5, 2, 4, 4)",4,True,,49
71,False,83,"(5, 4, 6, 7, 3, 3)",30,True,,50
72,False,80,"(6, 5, 6, 6, 4, 3)",9,True,,51
73,False,0,,,False,invalid_random_target,51
74,True,66,"(3, 8, 7, 8, 1, 3)",54,True,,52
75,False,79,"(3, 6, 6, 6, 2, 5)",4,True,,53
76,False,83,"(5, 5, 5, 5, 4, 6)",29,True,,54
77,False,0,,,False,invalid_random_target,54
78,False,83,"(5, 5, 5, 4, 5, 5)",12,True,,55
79,False,84,"(5, 6, 5, 2, 4, 4)",4,False,duplicate,55
80,False,83,"(4, 5, 5, 7, 3, 6)",4,True,,56
81,False,79,"(3, 6, 6, 6, 4, 3)",5,True,,57
82,False,61,"(5, 5, 6, 5, 5, 4)",40,True,,58
83,False,79,"(5, 5, 7, 4, 5, 5)",45,True,,59
84,False,81,"(6, 5, 6, 3, 4, 5)",57,True,,60
85,False,83,"(5, 5, 6, 6, 5, 5)",4,True,,61
86,False,83,"(4, 5, 5, 6, 3, 7)",7,False,duplicate,61
87,True,66,"(2, 6, 7, 8, 2, 3)",11,True,,62
88,False,0,,,False,invalid_random_target,62
89,False,0,,,False,invalid_random_target,62
90,False,82,"(4, 5, 6, 4, 5, 5)",3,False,duplicate,62
91,False,0,,,False,invalid_random_target,62
92,False,79,"(3, 5, 6, 4, 4, 5)",7,True,,63
93,False,0,,,False,invalid_random_target,63
94,False,84,"(5, 6, 4, 2, 4, 5)",65,True,,64
95,False,0,,,False,invalid_random_target,64
96,False,83,"(5, 5, 6, 6, 3, 3)",33,True,,65
97,False,83,"(5, 5, 5, 6, 8, 5)",83,True,,66
98,False,81,"(4, 5, 4, 6, 8, 5)",33,True,,67
99,False,0,,,False,invalid_random_target,67
100,False,72,"(5, 4, 5, 5, 4, 3)",6,True,,68
101,False,83,"(5, 5, 5, 5, 2, 6)",5,True,,69
102,True,66,"(3, 6, 7, 7, 1, 4)",59,True,,70
103,False,84,"(5, 6, 6, 2, 6, 3)",20,True,,71
104,False,0,,,False,invalid_random_target,71
105,False,84,"(5, 5, 6, 2, 6, 3)",40,True,,72
106,False,81,"(4, 5, 5, 6, 8, 4)",9,True,,73
107,False,0,,,False,invalid_random_target,73
108,False,81,"(6, 5, 6, 7, 4, 2)",20,True,,74
109,False,83,"(5, 5, 5, 7, 3, 5)",2,True,,75
110,False,70,"(3, 5, 6, 8, 2, 2)",5,True,,76
111,False,83,"(6, 5, 6, 6, 4, 5)",8,True,,77
112,False,83,"(4, 5, 5, 5, 3, 6)",2,False,duplicate,77
113,False,74,"(4, 5, 6, 6, 7, 4)",4,True,,78
114,False,82,"(3, 5, 5, 5, 5, 5)",40,True,,79
115,False,0,,,False,invalid_random_target,79
116,False,81,"(5, 5, 6, 3, 5, 3)",2,True,,80
117,False,81,"(5, 5, 5, 6, 7, 5)",7,True,,81
118,False,0,,,False,invalid_random_target,81
119,False,84,"(5, 6, 5, 3, 3, 4)",3,True,,82
120,False,0,,,False,invalid_random_target,82
121,False,84,"(4, 6, 6, 3, 6, 3)",3,True,,83
122,True,66,"(3, 6, 7, 7, 1, 2)",7,True,,84
123,False,81,"(5, 5, 7, 7, 4, 2)",4,True,,85
124,False,0,,,False,invalid_random_target,85
125,True,66,"(2, 6, 7, 8, 2, 3)",11,False,duplicate,85
126,False,68,"(4, 5, 6, 7, 1, 3)",32,True,,86
127,False,0,,,False,invalid_random_target,86
128,True,66,"(3, 6, 7, 7, 1, 2)",7,False,duplicate,86
129,True,66,"(4, 6, 7, 8, 1, 3)",43,True,,87
130,False,0,,,False,invalid_random_target,87
131,False,0,,,False,invalid_random_target,87
132,False,0,,,False,invalid_random_target,87
133,False,84,"(4, 6, 4, 3, 4, 5)",2,True,,88
134,False,84,"(5, 5, 5, 2, 3, 4)",24,True,,89
135,False,0,,,False,invalid_random_target,89
136,False,84,"(3, 6, 7, 3, 6, 3)",21,True,,90
137,False,79,"(3, 6, 8, 3, 7, 3)",72,True,,91
138,True,66,"(2, 6, 7, 7, 1, 3)",6,True,,92
139,False,0,,,False,invalid_random_target,92
140,False,79,"(3, 6, 7, 4, 6, 2)",6,True,,93
141,False,79,"(3, 6, 7, 4, 5, 3)",1,True,,94
142,False,84,"(5, 5, 6, 4, 4, 6)",63,True,,95
143,False,76,"(4, 6, 9, 8, 1, 3)",57,True,,96
144,False,70,"(3, 5, 6, 7, 2, 3)",12,False,duplicate,96
145,False,84,"(5, 6, 4, 3, 3, 5)",4,True,,97
146,False,83,"(7, 5, 5, 5, 5, 7)",74,True,,98
147,False,72,"(5, 4, 5, 5, 4, 3)",6,False,duplicate,98
148,False,80,"(5, 5, 6, 7, 4, 5)",4,True,,99
149,False,0,,,False,invalid_random_target,99
150,False,0,,,False,invalid_random_target,99
151,False,84,"(5, 6, 5, 5, 7, 4)",78,True,,100
152,True,66,"(3, 5, 7, 8, 2, 3)",27,True,,101
153,False,84,"(4, 6, 4, 2, 4, 4)",9,True,,102
154,False,72,"(5, 4, 5, 6, 3, 4)",7,True,,103
155,False,78,"(2, 6, 7, 5, 5, 3)",4,True,,104
156,False,65,"(3, 6, 8, 4, 7, 2)",11,True,,105
157,False,83,"(5, 5, 5, 6, 6, 5)",7,False,duplicate,105
158,False,67,"(2, 6, 8, 4, 6, 2)",3,True,,106
159,False,82,"(4, 5, 4, 6, 3, 6)",36,True,,107
160,False,81,"(5, 4, 5, 6, 7, 5)",9,True,,108
161,False,0,,,False,invalid_random_target,108
162,False,81,"(5, 5, 6, 1, 4, 5)",81,True,,109
163,False,76,"(7, 5, 6, 7, 4, 5)",74,True,,110
164,False,0,,,False,invalid_random_target,110
165,False,0,,,False,invalid_random_target,110
166,False,0,,,False,invalid_random_target,110
167,False,84,"(4, 6, 3, 2, 4, 5)",71,True,,111
168,False,84,"(5, 6, 5, 5, 4, 3)",1,True,,112
169,False,0,,,False,invalid_random_target,112
170,False,79,"(3, 6, 6, 7, 4, 4)",3,True,,113
171,False,84,"(5, 5, 5, 5, 7, 3)",73,True,,114
172,False,83,"(5, 6, 5, 3, 3, 4)",6,False,duplicate,114
173,False,0,,,False,invalid_random_target,114
174,False,0,,,False,invalid_random_target,114
175,False,79,"(3, 5, 6, 7, 4, 3)",17,True,,115
176,True,66,"(3, 6, 7, 8, 1, 2)",1,True,,116
177,False,79,"(2, 6, 7, 3, 5, 3)",5,True,,117
178,False,83,"(4, 4, 4, 5, 3, 6)",63,True,,118
179,False,0,,,False,invalid_random_target,118
180,False,84,"(6, 6, 5, 2, 7, 4)",78,True,,119
181,False,82,"(6, 6, 6, 7, 4, 5)",4,True,,120
182,False,0,,,False,invalid_random_target,120
183,False,0,,,False,invalid_random_target,120
184,False,84,"(4, 6, 5, 2, 3, 4)",9,True,,121
185,False,81,"(6, 5, 6, 7, 6, 2)",80,True,,122
186,False,0,,,False,invalid_random_target,122
187,False,84,"(5, 6, 6, 3, 5, 3)",2,True,,123
188,False,77,"(3, 9, 7, 8, 1, 4)",76,True,,124
189,False,70,"(5, 4, 5, 7, 8, 5)",55,True,,125
190,False,71,"(5, 4, 6, 5, 3, 3)",10,True,,126
191,False,82,"(4, 6, 3, 2, 3, 4)",13,True,,127
192,False,81,"(6, 5, 5, 8, 4, 2)",42,True,,128
193,False,0,,,False,invalid_random_target,128
194,False,0,,,False,invalid_random_target,128
195,False,0,,,False,invalid_random_target,128
196,True,65,"(4, 7, 7, 8, 1, 2)",50,True,,129
197,False,83,"(5, 5, 5, 5, 6, 3)",7,True,,130
198,False,77,"(2, 5, 6, 8, 3, 4)",9,True,,131
