planner_type,success,time_sec,iterations,nodes,quantum_calls,quantum_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,good_set_size_total,avg_good_set_size,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,quantum_candidates,quantum_top_k,quantum_iters,quantum_shots
qrrt_grid,False,144.82474329997785,2000,476,1425,475,575,0,227,950,0,0,45600,1425,32.0,11400,8.0,7141,5.011228070175439,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.798000,3.142000,1.815000,-1.466000,1.536000,2.217000","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)",1,2000,0.1,0.0,32,8,1,128
qrrt_grid,True,8.602797503001057,48,30,33,28,15,0,6,5,0,0,2112,33,64.0,264,8.0,426,12.909090909090908,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.798000,3.142000,1.815000,-1.466000,1.536000,2.217000","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)",1,2000,0.1,0.0,64,8,1,128
qrrt_grid,True,27.68945106602041,122,84,89,82,33,0,11,7,0,0,7093,89,79.69662921348315,712,8.0,1948,21.8876404494382,10,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.798000,3.142000,1.815000,-1.466000,1.536000,2.217000","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)",1,2000,0.1,0.0,128,8,1,128
qrrt_grid,True,30.743319594999775,176,110,127,108,49,0,17,19,0,0,9808,127,77.22834645669292,1016,8.0,2473,19.47244094488189,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.798000,3.142000,1.815000,-1.466000,1.536000,2.217000","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)",1,2000,0.1,0.0,256,8,1,128
qrrt_grid,True,7.653212438046467,46,27,31,25,15,0,5,6,0,0,2501,31,80.6774193548387,248,8.0,551,17.774193548387096,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.798000,3.142000,1.815000,-1.466000,1.536000,2.217000","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)",1,2000,0.1,0.0,512,8,1,128
qrrt_grid,False,306.55377340799896,2000,1072,1425,1071,575,0,227,354,0,0,100029,1425,70.19578947368421,11400,8.0,25584,17.953684210526315,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.798000,3.142000,1.815000,-1.466000,1.536000,2.217000","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)",1,2000,0.1,0.0,1024,8,1,128
qrrt_grid,True,32.0989836800145,167,109,121,107,46,0,16,14,0,0,9561,121,79.01652892561984,968,8.0,2849,23.545454545454547,14,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.798000,3.142000,1.815000,-1.466000,1.536000,2.217000","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)","(5, 5, 5, 5, 5, 5)","(2, 5, 3, 2, 7, 8)",1,2000,0.1,0.0,2048,8,1,128
