planner_type,success,time_sec,iterations,nodes,quantum_calls,quantum_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,good_set_size_total,avg_good_set_size,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,quantum_candidates,quantum_top_k,quantum_iters,quantum_shots
qrrt_grid,False,153.5479186809971,2000,565,1423,564,577,0,227,859,0,0,45529,1423,31.9950808151792,11384,8.0,6756,4.747716092761771,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,32,8,1,128
qrrt_grid,True,19.780113801010884,129,82,94,80,35,0,14,14,0,0,5787,94,61.56382978723404,752,8.0,1067,11.351063829787234,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,64,8,1,128
qrrt_grid,False,307.00925910199294,2000,1080,1423,1079,577,0,227,344,0,0,99777,1423,70.11735769501054,11384,8.0,24703,17.359803232607167,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,128,8,1,128
qrrt_grid,False,301.75400277099106,2000,1083,1423,1082,577,0,227,341,0,0,102806,1423,72.24595924104005,11382,7.998594518622628,24988,17.560084328882642,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,256,8,1,128
qrrt_grid,False,308.3765375009971,2000,1098,1423,1097,577,0,227,326,0,0,100501,1423,70.62614195361911,11384,8.0,24731,17.379479971890373,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,512,8,1,128
qrrt_grid,True,51.03892649098998,283,193,211,191,72,0,29,20,0,0,16185,211,76.70616113744076,1688,8.0,4051,19.19905213270142,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,1024,8,1,128
qrrt_grid,False,309.80426243896363,2000,1111,1423,1110,577,0,227,313,0,0,104569,1423,73.48489107519326,11382,7.998594518622628,26415,18.562895291637385,,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","-1.431000,4.189000,5.009000,2.251000,-2.461000,-1.536000","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)","(5, 5, 5, 5, 5, 5)","(2, 6, 7, 8, 1, 2)",1,2000,0.1,0.0,2048,8,1,128
