planner_type,success,time_sec,iterations,nodes,quantum_calls,quantum_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,good_set_size_total,avg_good_set_size,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,quantum_candidates,quantum_top_k,quantum_iters,quantum_shots
qrrt_grid,True,15.266238373005763,129,79,94,77,35,0,14,17,0,0,2963,94,31.52127659574468,752,8.0,429,4.5638297872340425,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","1.553000,4.294000,4.974000,1.239000,2.199000,1.414000","(5, 5, 5, 5, 5, 5)","(7, 6, 7, 6, 8, 7)","(5, 5, 5, 5, 5, 5)","(6, 6, 7, 6, 8, 7)",1,2000,0.1,0.0,32,8,1,128
qrrt_grid,True,51.43415920500411,341,214,257,212,84,0,34,45,0,0,16271,257,63.311284046692606,2056,8.0,3023,11.762645914396888,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","1.553000,4.294000,4.974000,1.239000,2.199000,1.414000","(5, 5, 5, 5, 5, 5)","(7, 6, 7, 6, 8, 7)","(5, 5, 5, 5, 5, 5)","(6, 6, 7, 6, 8, 7)",1,2000,0.1,0.0,64,8,1,128
qrrt_grid,True,51.607909585000016,283,178,211,176,72,0,29,35,0,0,15724,211,74.52132701421802,1688,8.0,3723,17.644549763033176,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","1.553000,4.294000,4.974000,1.239000,2.199000,1.414000","(5, 5, 5, 5, 5, 5)","(7, 6, 7, 6, 8, 7)","(5, 5, 5, 5, 5, 5)","(6, 6, 7, 6, 8, 7)",1,2000,0.1,0.0,128,8,1,128
qrrt_grid,True,5.697495150030591,23,20,18,18,5,0,3,0,0,0,1346,18,74.77777777777777,144,8.0,411,22.833333333333332,7,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","1.553000,4.294000,4.974000,1.239000,2.199000,1.414000","(5, 5, 5, 5, 5, 5)","(7, 6, 7, 6, 8, 7)","(5, 5, 5, 5, 5, 5)","(6, 6, 7, 6, 8, 7)",1,2000,0.1,0.0,256,8,1,128
qrrt_grid,True,56.12986611999804,341,224,257,222,84,0,34,35,0,0,19457,257,75.70817120622569,2056,8.0,5065,19.708171206225682,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","1.553000,4.294000,4.974000,1.239000,2.199000,1.414000","(5, 5, 5, 5, 5, 5)","(7, 6, 7, 6, 8, 7)","(5, 5, 5, 5, 5, 5)","(6, 6, 7, 6, 8, 7)",1,2000,0.1,0.0,512,8,1,128
qrrt_grid,True,32.01126152498182,176,113,127,111,49,0,17,16,0,0,9764,127,76.88188976377953,1016,8.0,2275,17.913385826771652,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","1.553000,4.294000,4.974000,1.239000,2.199000,1.414000","(5, 5, 5, 5, 5, 5)","(7, 6, 7, 6, 8, 7)","(5, 5, 5, 5, 5, 5)","(6, 6, 7, 6, 8, 7)",1,2000,0.1,0.0,1024,8,1,128
qrrt_grid,True,50.21801565401256,283,191,211,189,72,0,29,22,0,0,16204,211,76.79620853080569,1688,8.0,4668,22.123222748815166,8,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","1.553000,4.294000,4.974000,1.239000,2.199000,1.414000","(5, 5, 5, 5, 5, 5)","(7, 6, 7, 6, 8, 7)","(5, 5, 5, 5, 5, 5)","(6, 6, 7, 6, 8, 7)",1,2000,0.1,0.0,2048,8,1,128
