planner_type,success,time_sec,iterations,nodes,quantum_calls,quantum_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,good_set_size_total,avg_good_set_size,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,quantum_candidates,quantum_top_k,quantum_iters,quantum_shots
qrrt_grid,True,3.698270764958579,24,18,19,16,5,0,4,3,0,0,608,19,32.0,152,8.0,78,4.105263157894737,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,32,8,1,128
qrrt_grid,True,6.045464637049008,28,21,22,19,6,0,5,3,0,0,1316,22,59.81818181818182,176,8.0,154,7.0,8,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,64,8,1,128
qrrt_grid,True,6.227024260966573,22,18,17,16,5,0,2,1,0,0,1346,17,79.17647058823529,136,8.0,286,16.823529411764707,6,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,128,8,1,128
qrrt_grid,True,49.665857560001314,283,179,211,177,72,0,29,34,0,0,15883,211,75.27488151658768,1688,8.0,3455,16.37440758293839,6,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,256,8,1,128
qrrt_grid,True,5.1153417770401575,24,19,19,17,5,0,4,2,0,0,1345,19,70.78947368421052,152,8.0,211,11.105263157894736,7,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,512,8,1,128
qrrt_grid,True,48.629553023027256,283,179,211,177,72,0,29,34,0,0,16010,211,75.87677725118483,1688,8.0,4036,19.127962085308056,8,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,1024,8,1,128
qrrt_grid,True,29.912060103029944,176,114,127,112,49,0,17,15,0,0,9639,127,75.89763779527559,1016,8.0,2207,17.37795275590551,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,2048,8,1,128
