iteration,goal_sampled,candidate_count,chosen_idx,chosen_rank,accepted,rejection_reason,tree_nodes
76,False,84,"(4, 7, 4, 6, 6, 7)",18,True,,51
77,False,0,,,False,invalid_random_target,51
78,False,83,"(3, 5, 5, 4, 6, 5)",2,True,,52
79,False,83,"(4, 6, 6, 2, 7, 8)",82,True,,53
80,False,82,"(3, 6, 4, 5, 4, 8)",55,True,,54
81,False,82,"(3, 6, 4, 6, 5, 6)",79,True,,55
82,False,81,"(6, 6, 6, 3, 5, 5)",17,True,,56
83,False,82,"(4, 5, 5, 4, 5, 5)",61,True,,57
84,False,83,"(4, 5, 5, 3, 5, 7)",7,True,,58
85,False,71,"(5, 4, 5, 4, 7, 9)",9,True,,59
86,False,63,"(2, 5, 3, 3, 7, 8)",7,True,,60
87,True,63,"(2, 5, 3, 2, 7, 7)",8,True,,61
88,False,0,,,False,invalid_random_target,61
89,False,0,,,False,invalid_random_target,61
90,False,82,"(6, 5, 5, 2, 6, 5)",4,True,,62
91,False,0,,,False,invalid_random_target,62
92,False,82,"(2, 5, 5, 4, 6, 6)",4,True,,63
93,False,0,,,False,invalid_random_target,63
94,False,83,"(6, 6, 4, 3, 4, 7)",5,True,,64
95,False,0,,,False,invalid_random_target,64
96,False,83,"(6, 6, 5, 6, 5, 6)",6,False,duplicate,64
97,False,83,"(5, 6, 6, 6, 4, 6)",65,True,,65
98,False,83,"(4, 6, 6, 5, 6, 5)",1,True,,66
99,False,0,,,False,invalid_random_target,66
100,False,81,"(6, 5, 5, 3, 5, 5)",4,False,duplicate,66
101,False,81,"(3, 6, 4, 5, 3, 7)",71,True,,67
102,True,63,"(2, 5, 4, 1, 6, 8)",38,True,,68
103,False,62,"(6, 6, 5, 3, 7, 6)",2,True,,69
104,False,0,,,False,invalid_random_target,69
105,False,81,"(4, 5, 6, 3, 5, 4)",2,True,,70
106,False,82,"(3, 5, 5, 3, 7, 5)",15,True,,71
107,False,0,,,False,invalid_random_target,71
108,False,83,"(5, 6, 6, 7, 6, 6)",51,True,,72
109,False,83,"(6, 6, 5, 6, 2, 5)",78,True,,73
110,False,82,"(3, 6, 4, 6, 4, 7)",43,True,,74
111,False,84,"(5, 6, 4, 4, 6, 5)",2,True,,75
112,False,80,"(5, 5, 3, 2, 6, 8)",79,True,,76
113,False,84,"(5, 6, 4, 5, 6, 4)",37,True,,77
114,False,82,"(2, 5, 5, 4, 6, 6)",4,False,duplicate,77
115,False,0,,,False,invalid_random_target,77
116,False,52,"(2, 5, 3, 2, 6, 8)",7,False,duplicate,77
117,False,60,"(4, 4, 5, 4, 7, 9)",7,True,,78
118,False,0,,,False,invalid_random_target,78
119,False,62,"(7, 5, 5, 2, 5, 5)",28,True,,79
120,False,0,,,False,invalid_random_target,79
121,False,81,"(5, 4, 6, 3, 5, 4)",14,True,,80
122,True,63,"(2, 4, 3, 2, 7, 8)",4,True,,81
123,False,84,"(5, 5, 5, 7, 5, 5)",62,True,,82
124,False,0,,,False,invalid_random_target,82
125,True,63,"(2, 5, 3, 3, 7, 8)",7,False,duplicate,82
126,False,62,"(4, 4, 5, 3, 5, 4)",4,True,,83
127,False,0,,,False,invalid_random_target,83
128,True,63,"(2, 4, 3, 2, 7, 8)",4,False,duplicate,83
129,True,63,"(2, 5, 3, 1, 6, 8)",14,True,,84
130,False,0,,,False,invalid_random_target,84
131,False,0,,,False,invalid_random_target,84
132,False,0,,,False,invalid_random_target,84
133,False,83,"(3, 6, 6, 1, 7, 8)",14,True,,85
134,False,71,"(4, 5, 5, 3, 5, 5)",5,True,,86
135,False,0,,,False,invalid_random_target,86
136,False,82,"(3, 5, 5, 3, 7, 6)",5,True,,87
137,False,82,"(3, 5, 5, 2, 7, 6)",4,True,,88
138,True,63,"(2, 4, 3, 2, 7, 8)",4,False,duplicate,88
139,False,0,,,False,invalid_random_target,88
140,False,80,"(4, 5, 5, 3, 5, 3)",49,True,,89
141,False,84,"(4, 6, 5, 2, 5, 6)",9,True,,90
142,False,83,"(6, 5, 4, 3, 3, 7)",17,True,,91
143,False,83,"(6, 6, 5, 7, 1, 5)",82,True,,92
144,False,83,"(5, 5, 4, 7, 5, 6)",13,True,,93
145,False,66,"(2, 5, 3, 1, 7, 7)",17,True,,94
146,False,82,"(4, 5, 5, 4, 5, 8)",17,True,,95
147,False,82,"(6, 5, 5, 3, 6, 6)",2,True,,96
148,False,83,"(5, 6, 5, 7, 5, 6)",39,True,,97
149,False,0,,,False,invalid_random_target,97
150,False,0,,,False,invalid_random_target,97
151,False,84,"(5, 6, 4, 6, 6, 7)",9,False,duplicate,97
152,True,63,"(3, 5, 4, 2, 6, 8)",27,False,duplicate,97
153,False,83,"(5, 6, 3, 3, 2, 7)",39,True,,98
154,False,83,"(5, 5, 5, 6, 5, 5)",7,True,,99
155,False,80,"(3, 5, 6, 3, 5, 5)",3,True,,100
156,False,78,"(3, 6, 5, 1, 7, 7)",8,True,,101
157,False,71,"(7, 4, 5, 5, 7, 8)",70,True,,102
158,False,82,"(3, 6, 6, 4, 6, 5)",5,True,,103
159,False,82,"(3, 5, 4, 5, 4, 7)",4,True,,104
160,False,84,"(6, 6, 4, 6, 6, 8)",57,True,,105
161,False,0,,,False,invalid_random_target,105
162,False,83,"(4, 5, 4, 3, 5, 8)",9,True,,106
163,False,82,"(5, 5, 6, 7, 4, 6)",61,True,,107
164,False,0,,,False,invalid_random_target,107
165,False,0,,,False,invalid_random_target,107
166,False,0,,,False,invalid_random_target,107
167,False,64,"(2, 5, 3, 2, 7, 8)",1,True,,109
