iteration,goal_sampled,candidate_count,chosen_idx,chosen_rank,accepted,rejection_reason,tree_nodes
1,False,83,"(5, 5, 5, 3, 5, 5)",9,True,,2
2,False,83,"(5, 5, 5, 3, 5, 7)",7,True,,3
3,False,83,"(4, 6, 5, 3, 5, 5)",14,True,,4
4,False,0,,,False,invalid_random_target,4
5,False,83,"(5, 5, 5, 3, 6, 8)",15,True,,5
6,False,0,,,False,invalid_random_target,5
7,False,83,"(5, 6, 5, 6, 5, 5)",67,True,,6
8,False,0,,,False,invalid_random_target,6
9,False,84,"(5, 6, 4, 6, 6, 5)",17,True,,7
10,False,84,"(5, 6, 4, 5, 6, 6)",3,True,,8
11,True,82,"(4, 5, 5, 3, 7, 8)",4,True,,9
12,False,0,,,False,invalid_random_target,9
13,False,84,"(5, 6, 6, 6, 6, 5)",66,True,,10
14,False,83,"(6, 5, 5, 3, 5, 5)",63,True,,11
15,False,83,"(5, 5, 5, 4, 6, 5)",10,True,,12
16,False,82,"(6, 5, 5, 4, 6, 8)",78,True,,13
17,False,84,"(6, 6, 5, 6, 5, 6)",42,True,,14
18,False,83,"(6, 6, 5, 4, 5, 6)",3,True,,15
19,False,84,"(4, 6, 4, 5, 6, 7)",3,True,,16
20,False,84,"(4, 5, 5, 3, 5, 6)",7,True,,17
21,False,0,,,False,invalid_random_target,17
22,True,82,"(4, 5, 4, 3, 7, 8)",7,True,,18
23,True,82,"(3, 5, 4, 2, 7, 8)",3,True,,19
24,True,82,"(3, 5, 4, 2, 6, 8)",26,True,,20
25,False,0,,,False,invalid_random_target,20
26,False,83,"(4, 5, 5, 5, 5, 6)",2,True,,21
27,False,84,"(5, 6, 4, 5, 6, 6)",3,False,duplicate,21
28,True,82,"(4, 6, 4, 2, 7, 8)",59,True,,22
29,False,0,,,False,invalid_random_target,22
30,False,0,,,False,invalid_random_target,22
31,False,83,"(5, 6, 5, 5, 6, 5)",2,True,,23
32,False,83,"(6, 6, 5, 6, 3, 6)",74,True,,24
33,False,0,,,False,invalid_random_target,24
34,False,0,,,False,invalid_random_target,24
35,False,0,,,False,invalid_random_target,24
36,False,84,"(5, 6, 4, 6, 6, 7)",9,True,,25
37,False,84,"(5, 6, 4, 4, 6, 7)",2,True,,26
38,False,0,,,False,invalid_random_target,26
39,False,0,,,False,invalid_random_target,26
40,False,83,"(6, 6, 5, 4, 3, 6)",5,True,,27
41,False,84,"(4, 6, 4, 5, 6, 7)",1,False,duplicate,27
42,False,82,"(3, 5, 3, 2, 6, 8)",5,True,,28
43,False,83,"(5, 6, 6, 6, 6, 7)",12,True,,29
44,False,0,,,False,invalid_random_target,29
45,False,0,,,False,invalid_random_target,29
46,False,82,"(4, 5, 4, 2, 6, 8)",62,True,,30
47,False,83,"(5, 6, 6, 6, 6, 6)",49,True,,31
48,True,82,"(3, 5, 3, 2, 6, 8)",18,False,duplicate,31
49,False,84,"(4, 6, 5, 5, 5, 5)",71,True,,32
50,False,84,"(4, 6, 4, 5, 5, 6)",5,True,,33
51,False,84,"(5, 6, 4, 6, 5, 6)",30,True,,34
52,False,80,"(2, 5, 3, 2, 6, 8)",2,True,,35
53,False,83,"(7, 5, 5, 3, 6, 5)",56,True,,36
54,False,0,,,False,invalid_random_target,36
55,False,83,"(7, 6, 5, 4, 3, 7)",56,True,,37
56,False,82,"(5, 5, 5, 4, 6, 8)",5,True,,38
57,False,82,"(7, 6, 5, 3, 7, 5)",34,True,,39
58,False,84,"(4, 6, 4, 6, 5, 7)",57,True,,40
59,True,63,"(2, 5, 3, 1, 7, 8)",6,True,,41
60,False,0,,,False,invalid_random_target,41
61,False,61,"(6, 6, 5, 3, 3, 7)",4,True,,42
62,False,83,"(6, 6, 5, 4, 5, 6)",3,False,duplicate,42
63,False,0,,,False,invalid_random_target,42
64,False,83,"(6, 6, 3, 3, 3, 7)",19,True,,43
65,False,0,,,False,invalid_random_target,43
66,False,84,"(5, 6, 3, 5, 6, 5)",7,True,,44
67,False,0,,,False,invalid_random_target,44
68,False,82,"(6, 4, 5, 4, 7, 8)",29,True,,45
69,False,84,"(3, 6, 4, 5, 5, 7)",2,True,,46
70,False,62,"(7, 6, 5, 3, 5, 5)",47,True,,47
71,False,83,"(6, 6, 5, 5, 4, 6)",3,True,,48
72,False,83,"(6, 5, 6, 3, 5, 4)",76,True,,49
73,False,0,,,False,invalid_random_target,49
74,True,63,"(3, 5, 3, 2, 7, 8)",3,True,,50
75,False,84,"(5, 6, 4, 5, 6, 6)",3,False,duplicate,50
