planner_type,success,time_sec,iterations,nodes,quantum_calls,quantum_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,good_set_size_total,avg_good_set_size,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,quantum_candidates,quantum_top_k,quantum_iters,quantum_shots
qrrt_grid,True,9.352638904005289,74,43,53,41,21,0,8,12,0,0,1696,53,32.0,424,8.0,301,5.679245283018868,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,32,8,1,128
qrrt_grid,True,10.077799628023058,92,48,65,46,27,0,7,19,0,0,2055,65,31.615384615384617,520,8.0,364,5.6,14,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",2,2000,0.1,0.0,32,8,1,128
qrrt_grid,True,19.63965475303121,204,98,144,96,60,0,19,48,0,0,4590,144,31.875,1152,8.0,750,5.208333333333333,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",3,2000,0.1,0.0,32,8,1,128
qrrt_grid,True,23.168809180962853,266,105,188,103,78,0,22,85,0,0,6004,188,31.93617021276596,1504,8.0,971,5.164893617021277,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",4,2000,0.1,0.0,32,8,1,128
qrrt_grid,True,32.57558175601298,359,153,259,151,100,0,30,108,0,0,8090,259,31.235521235521237,2072,8.0,1414,5.45945945945946,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",5,2000,0.1,0.0,32,8,1,128
