planner_type,success,time_sec,iterations,nodes,classical_calls,classical_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,candidate_count,top_k
crrt_grid,True,2.0640388499596156,24,19,19,17,5,0,4,2,0,0,608,19,32.0,69,3.6315789473684212,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,32,8
crrt_grid,True,4.150120807986241,64,35,46,33,18,0,5,13,0,0,1472,46,32.0,186,4.043478260869565,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",2,2000,0.1,0.0,32,8
crrt_grid,True,11.738256715005264,336,120,235,118,101,0,30,117,0,0,7278,235,30.970212765957445,921,3.9191489361702128,11,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",3,2000,0.1,0.0,32,8
crrt_grid,True,5.598893733986188,97,49,75,47,22,0,8,28,0,0,2400,75,32.0,336,4.48,12,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",4,2000,0.1,0.0,32,8
crrt_grid,True,3.6046799540054053,68,33,48,31,20,0,4,17,0,0,1536,48,32.0,184,3.8333333333333335,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",5,2000,0.1,0.0,32,8
