planner_type,success,time_sec,iterations,nodes,classical_calls,classical_successful_extensions,invalid_random_targets,empty_candidate_sets,goal_sample_hits,duplicate_rejections,invalid_chosen_state_rejections,invalid_chosen_edge_rejections,candidate_count_total,candidate_count_nonempty_iters,avg_candidate_count,selected_rank_total,avg_selected_rank,path_waypoints,bins_per_joint,total_grid_states,q_start,q_goal,start_idx_raw,goal_idx_raw,start_idx,goal_idx,seed,max_iters,goal_sample_rate,goal_radius_idx,candidate_count,top_k
crrt_grid,True,2.103663598012645,24,19,19,17,5,0,4,2,0,0,608,19,32.0,69,3.6315789473684212,9,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,32,8
crrt_grid,True,3.4997491710237227,24,19,19,17,5,0,4,2,0,0,1156,19,60.8421052631579,69,3.6315789473684212,7,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,64,8
crrt_grid,True,3.796611164987553,22,17,17,15,5,0,2,2,0,0,1129,17,66.41176470588235,63,3.7058823529411766,8,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,128,8
crrt_grid,True,3.770424854999874,22,17,17,15,5,0,2,2,0,0,1129,17,66.41176470588235,63,3.7058823529411766,8,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,256,8
crrt_grid,True,3.9329380079871044,22,17,17,15,5,0,2,2,0,0,1129,17,66.41176470588235,63,3.7058823529411766,8,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,512,8
crrt_grid,True,3.7831630149739794,22,17,17,15,5,0,2,2,0,0,1129,17,66.41176470588235,63,3.7058823529411766,8,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,1024,8
crrt_grid,True,4.226062123954762,22,17,17,15,5,0,2,2,0,0,1129,17,66.41176470588235,63,3.7058823529411766,8,"[10, 10, 10, 10, 10, 10]",1000000,"0.000000,3.142000,3.142000,0.000000,0.000000,0.000000","0.855000,3.386000,4.590000,0.576000,-1.623000,1.518000","(5, 5, 5, 5, 5, 5)","(6, 5, 7, 5, 2, 7)","(5, 5, 5, 5, 5, 5)","(5, 5, 7, 5, 2, 7)",1,2000,0.1,0.0,2048,8
